Name	ID pre-miRNA
hsa-miR-548c-5p	MI0003630
hsa-miR-548c-3p	MI0003630
hsa-miR-617	MI0003631
hsa-miR-618	MI0003632
hsa-miR-619	MI0003633
hsa-miR-620	MI0003634
hsa-miR-621	MI0003635
hsa-miR-622	MI0003636
hsa-miR-623	MI0003637
hsa-miR-624-5p	MI0003638
hsa-miR-624-3p	MI0003638
hsa-miR-625-5p	MI0003639
hsa-miR-625-3p	MI0003639
hsa-miR-626	MI0003640
hsa-miR-627	MI0003641
hsa-miR-628-5p	MI0003642
hsa-miR-628-3p	MI0003642
hsa-miR-629-5p	MI0003643
hsa-miR-629-3p	MI0003643
hsa-miR-630	MI0003644
hsa-miR-631	MI0003645
hsa-miR-33b-5p	MI0003646
hsa-miR-33b-3p	MI0003646
hsa-miR-632	MI0003647
hsa-miR-633	MI0003648
hsa-miR-634	MI0003649
hsa-miR-635	MI0003650
hsa-miR-636	MI0003651
hsa-miR-637	MI0003652
hsa-miR-638	MI0003653
hsa-miR-639	MI0003654
hsa-miR-640	MI0003655
hsa-miR-641	MI0003656
hsa-miR-642a-5p	MI0003657
hsa-miR-642a-3p	MI0003657
hsa-miR-643	MI0003658
hsa-miR-644a	MI0003659
hsa-miR-645	MI0003660
hsa-miR-646	MI0003661
hsa-miR-647	MI0003662
hsa-miR-648	MI0003663
hsa-miR-649	MI0003664
hsa-miR-650	MI0003665
hsa-miR-651	MI0003666
hsa-miR-652-3p	MI0003667
hsa-miR-652-5p	MI0003667
hsa-miR-548d-5p	MI0003668
hsa-miR-548d-3p	MI0003668
hsa-miR-661	MI0003669
hsa-miR-662	MI0003670
hsa-miR-548d-5p	MI0003671
hsa-miR-548d-3p	MI0003671
hsa-miR-663a	MI0003672
hsa-miR-449b-5p	MI0003673
hsa-miR-449b-3p	MI0003673
hsa-miR-653	MI0003674
hsa-miR-411-5p	MI0003675
hsa-miR-411-3p	MI0003675
hsa-miR-654-5p	MI0003676
hsa-miR-654-3p	MI0003676
hsa-miR-655	MI0003677
hsa-miR-656	MI0003678
hsa-miR-549	MI0003679
hsa-miR-657	MI0003681
hsa-miR-658	MI0003682
hsa-miR-659-3p	MI0003683
hsa-miR-659-5p	MI0003683
hsa-miR-660-5p	MI0003684
hsa-miR-660-3p	MI0003684
hsa-miR-421	MI0003685
hsa-miR-542-5p	MI0003686
hsa-miR-542-3p	MI0003686
hsa-miR-758	MI0003757
hsa-miR-1264	MI0003758
hsa-miR-671-5p	MI0003760
hsa-miR-671-3p	MI0003760
hsa-miR-668	MI0003761
hsa-miR-550a-3p	MI0003762
hsa-miR-550a-3-5p	MI0003762
hsa-miR-767-5p	MI0003763
hsa-miR-767-3p	MI0003763
hsa-miR-1224-5p	MI0003764
hsa-miR-1224-3p	MI0003764
hsa-miR-151b	MI0003772
hsa-miR-320b	MI0003776
hsa-miR-320c	MI0003778
hsa-miR-1296	MI0003780
hsa-miR-1468	MI0003782
hsa-miR-1323	MI0003786
hsa-miR-1271-5p	MI0003814
hsa-miR-1271-3p	MI0003814
hsa-miR-1301	MI0003815
hsa-miR-454-5p	MI0003820
hsa-miR-454-3p	MI0003820
hsa-miR-1185-5p	MI0003821
hsa-miR-1185-2-3p	MI0003821
hsa-miR-449c-5p	MI0003823
hsa-miR-449c-3p	MI0003823
hsa-miR-1283	MI0003832
hsa-miR-769-5p	MI0003834
hsa-miR-769-3p	MI0003834
hsa-miR-766-3p	MI0003836
hsa-miR-766-5p	MI0003836
hsa-miR-320b	MI0003839
hsa-miR-378d	MI0003840
hsa-miR-1185-5p	MI0003844
hsa-miR-1185-1-3p	MI0003844
hsa-miR-762	MI0003892
hsa-miR-802	MI0003906
hsa-miR-670	MI0003933
hsa-miR-1298	MI0003938
hsa-miR-2113	MI0003939
hsa-miR-761	MI0003941
hsa-miR-764	MI0003944
hsa-miR-759	MI0004065
hsa-miR-765	MI0005116
hsa-miR-770-5p	MI0005118
hsa-miR-675-5p	MI0005416
hsa-miR-675-3p	MI0005416
hsa-miR-298	MI0005523
hsa-miR-891a	MI0005524
hsa-miR-300	MI0005525
hsa-miR-892a	MI0005528
hsa-miR-509-5p	MI0005530
hsa-miR-509-3p	MI0005530
hsa-miR-450b-5p	MI0005531
hsa-miR-450b-3p	MI0005531
